loan_id,facility_id,loan_cost,facility_cost,full_cost
365,8,111703.20000000001,2381.7,114084.90000000001
366,8,111703.20000000001,13126.35,124829.55000000002
367,8,111703.20000000001,3238.95,114942.15000000001
368,8,111703.20000000001,12031.949999999999,123735.15000000001
369,8,111703.20000000001,30675.749999999996,142378.95
370,8,111703.20000000001,23375.1,135078.30000000002
371,8,111703.20000000001,14484.5,126187.70000000001
372,8,111703.20000000001,8228.15,119931.35
373,8,111703.20000000001,20809.75,132512.95
374,8,111703.20000000001,13716.5,125419.70000000001
375,8,111703.20000000001,15721.65,127424.85
376,8,111703.20000000001,8523.55,120226.75000000001
377,10,127740.29999999999,1709.85,129450.15
378,8,111703.20000000001,23320.149999999998,135023.35
379,8,111703.20000000001,13263.5,124966.70000000001
380,8,111703.20000000001,13911,125614.20000000001
381,8,111703.20000000001,6925.5,118628.70000000001
382,8,111703.20000000001,22897.25,134600.45
383,8,111703.20000000001,3085.7999999999997,114789.00000000001
384,8,111703.20000000001,14948.849999999999,126652.05000000002
385,8,111703.20000000001,7743.15,119446.35
386,8,111703.20000000001,14018.55,125721.75000000001
387,8,111703.20000000001,13812.5,125515.70000000001
388,8,111703.20000000001,19002.199999999997,130705.40000000001
389,8,111703.20000000001,13940.75,125643.95000000001
390,8,111703.20000000001,13574.25,125277.45000000001
391,8,111703.20000000001,12145.05,123848.25000000001
392,8,111703.20000000001,25298.699999999997,137001.90000000002
393,8,111703.20000000001,12348.3,124051.50000000001
394,8,111703.20000000001,6672.5,118375.70000000001
395,6,73238.16,13211.25,86449.41
396,6,73238.16,21065,94303.16
397,8,111703.20000000001,9109,120812.20000000001
398,6,73238.16,19529.25,92767.41
399,6,73238.16,32864.299999999996,106102.45999999999
400,6,73238.16,16296.5,89534.66
401,6,73238.16,17051.5,90289.66
402,6,73238.16,11807.85,85046.01000000001
403,6,73238.16,12530.1,85768.26000000001
404,6,73238.16,15627.75,88865.91
405,6,73238.16,13708.949999999999,86947.11
406,6,73238.16,7857.75,81095.91
407,6,73238.16,6352.849999999999,79591.01000000001
408,6,73238.16,10463.5,83701.66
409,6,73238.16,3510.45,76748.61
410,6,73238.16,6298.75,79536.91
411,8,111703.20000000001,1638.8999999999999,113342.1
412,6,73238.16,13960.5,87198.66
413,6,73238.16,9041.75,82279.91
414,6,73238.16,21689.5,94927.66
415,6,73238.16,6471.75,79709.91
416,6,73238.16,9162.75,82400.91
417,6,73238.16,8479.449999999999,81717.61
418,6,73238.16,32428.899999999998,105667.06
419,6,73238.16,22207.75,95445.91
420,6,73238.16,18384.75,91622.91
421,6,73238.16,3076.65,76314.81
422,6,73238.16,14081.5,87319.66
423,6,73238.16,23458.25,96696.41
424,6,73238.16,7216.999999999999,80455.16
425,6,73238.16,30314.899999999998,103553.06
